Area name,2018 Forcast,2017 Actual,Percent Change
Statewide,57762,57571,0.33
Athens,1931,1700,13.59
Baldwin_County,6593,6562,0.47
Baldwin_Condos,1556,1781,-12.63
Birmingham,15366,14915,3.02
Calhoun,1669,1646,1.4
Cherokee,279,240,16.25
Covington,321,279,15.05
Cullman,1011,852,18.66
Dothan,1431,1376,4
Gadsden,927,896,3.46
Huntsville,7212,6996,3.09
Jackson,252,258,-2.33
Lake_Martin,684,665,2.86
Lee,2035,1867,9
Marshall,834,872,-4.36
Mobile,4598,4489,2.43
Monroe,105,95,10.53
Montgomery,4637,4400,5.39
Morgan,1432,1482,-3.37
Shoals_Area,1688,1723,-2.03
Phenix_City,1205,1138,5.89
Selma,151,123,22.76
Talladega,449,458,-1.97
Tuscaloosa,2724,2590,5.17
Walker,1075,891,20.65
Wiregrass,1043,1047,-0.38
Lake_Martin_Waterfront,346,363,-4.68
